INFO 2025-07-27 17:41:16,539 autoreload Watching for file changes with StatReloader
DEBUG 2025-07-27 17:41:16,541 autoreload Waiting for apps ready_event.
DEBUG 2025-07-27 17:41:16,551 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-07-27 17:41:16,632 autoreload Watching dir E:\Logica e Linguagem da computação Daniele\livro\projeto loja\prj_lojavirtual\templates with glob **/*.
DEBUG 2025-07-27 17:41:16,632 autoreload Watching dir E:\Logica e Linguagem da computação Daniele\livro\projeto loja\prj_lojavirtual\locale with glob **/*.mo.
DEBUG 2025-07-27 17:41:16,639 autoreload Watching dir E:\Logica e Linguagem da computação Daniele\livro\projeto loja\prj_lojavirtual\main\locale with glob **/*.mo.
DEBUG 2025-07-27 17:41:16,922 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-07-27 17:41:16,936 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-07-27 17:41:17,360 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1753647372.713921
DEBUG 2025-07-27 17:41:17,360 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\sqlparse\sql.py first seen with mtime 1753647372.5336826
DEBUG 2025-07-27 17:41:17,360 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1753647444.8892648
DEBUG 2025-07-27 17:41:17,360 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1753647372.783547
DEBUG 2025-07-27 17:41:17,360 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\utils\formats.py first seen with mtime 1753647577.6034236
DEBUG 2025-07-27 17:41:17,360 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\gettext.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,360 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\email\_parseaddr.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,360 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\graphlib.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,360 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\thread.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,371 autoreload File E:\Logica e Linguagem da computação Daniele\livro\projeto loja\genv\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1753647568.6436846
DEBUG 2025-07-27 17:41:17,372 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\inspect.py first seen with mtime 1725665474.0
DEBUG 2025-07-27 17:41:17,372 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\secrets.py first seen with mtime 1725665474.0
